Command,End Command,Context role,Placeholder,starts new paragraph?,ends paragraph?,Outline Level,Role,Role of Child elements,Number of Groups,Groups to parse,Parse Options?
\end{figure},,,,,1,,,,1,,
\begin{figure*},\end{figure*},,,2,,,figure,figure,1,,
\end{figure*},,,,,1,,,,1,,
\begin{table},\end{table},,,2,,,table-environment,table,1,,
\end{table},,,,,1,,,,1,,
\begin{tabular},\end{tabular},,,2,,,table,table,1,,
\end{tabular},,,,,1,,,,1,,
\caption,,,,1,1,,caption,caption,1,0,
\begin{titlepage},\end{titlepage},,,1,1,,,,1,,
\title,,,,1,1,,title,title,1,0,
\author,,,,1,1,,authors,author,1,0,
\address,,,,1,1,,affiliation,affiliation,1,0,
\affil,,,,1,1,,affiliation,affiliation,1,0,
\date,,,,1,1,,date,date,1,0,
\item,,,,1,,,listing-item,,-1,-1,
\textit,,,,,,,,,1,0,
\it,,,,,,,,,,,
\underline,,,,,,,,,1,0,
\footnote,,,,1,1,,footnote,,1,0,
\footnotetext,,,,,,,footnote,,1,0,
,,,,,,,,,,,
\input,,,,,,,,,,,
\n\n,,,,2,,,,,,,
\par,,,,2,,,,,,,
\rm,,,,,,,,,,,
\bf,,,,,,,,,1,0,
,,,,,,,,,,,
$,$,,[formula],,,,,,,,
$$,$$,,[formula],1,1,,formula,formula,,,
\begin{align},\end{align},,[formula],2,,,formula,formula,1,,
\end{align},,,,,1,,,,1,,
\begin{align*},\end{align*},,[formula],2,,,formula,formula,1,,
\end{align*},,,,,1,,,,1,,
\begin{equation},\end{equation},,[formula],2,,,formula,formula,1,,
\end{equation},,,,,1,,,,1,,
\begin{eqnarray},\end{eqnarray},,[formula],2,,,formula,formula,1,,
\end{eqnarray},,,,,1,,,,1,,
\begin{eqnarray*},\end{eqnarray*},,[formula],2,,,formula,formula,1,,
\end{eqnarray*},,,,,1,,,,1,,
\begin{mathletters},\end{mathletters},,,,,,,,1,,
\[,\],,[formula],2,,,formula,formula,,,
\],,,,,1,,,,,,
,,,,,,,,,,,
\includegraphics,,,[figure],2,1,,figure,figure,1,,
,,,,,,,,,,,
\epsffile,,,[figure],2,1,,figure,,1,,
\epsfbox,,,[figure],2,1,,,,1,,
\epsfxsize,,,,,,,,,1,,
\epsfysize,,,,,,,,,1,,
\vskip,,,,,,,,,1,,
\hskip,,,,,,,,,1,,
,,,,,,,,,,,
\ ,,, ,,,,,,0,,
"\,",,, ,,,,,,,,
\:,,, ,,,,,,,,
\!,,, ,,,,,,,,
\;,,, ,,,,,,,,
\quad,,, ,,,,,,,,
\qquad,,, ,,,,,,,,
,,,,,,,,,,,
\~,,,~,,,,,,0,,
\&,,,&,,,,,,0,,
\%,,,%,,,,,,0,,
\$,,,$,,,,,,0,,
\#,,,#,,,,,,0,,
\_,,,_,,,,,,0,,
\{,,,{,,,,,,0,,
\},,,},,,,,,0,,
,,,,,,,,,,,
\i,,,ı,,,,,,0,,
\j,,,ȷ,,,,,,0,,
\L,,,Ł,,,,,,0,,
\l,,,ł,,,,,,0,,
\O,,,Ø,,,,,,0,,
\o,,,ø,,,,,,0,,
\P,,,¶,,,,,,0,,
\S,,,§,,,,,,0,,
,,,,,,,,,,,
\AA,,,Å,,,,,,0,,
\aa,,,å,,,,,,0,,
\AE,,,Æ,,,,,,0,,
\ae,,,æ,,,,,,0,,
\OE,,,Œ,,,,,,0,,
\oe,,,œ,,,,,,0,,
\ss,,,ß,,,,,,0,,
,,,,,,,,,,,
