id,copy,copyM,convert,filter,citation,header
4643603,0.003892,0.004455,0.176456
4643602,0.012254,0.012934,0.618387
4643601,0.001668,0.002496,0.040201
4643600,0.002961,0.003805,0.765883
4643599,0.009842,0.010517,0.119001
4643598,0.001146,0.001673,0.115018
4643597,0.002146,0.002697,0.287786
4643596,0.001171,0.001704,0.102656
4643595,0.00344,0.004069,0.133085
4643594,0.026648,0.027341,4.835318
4643593,0.001692,0.002231,0.037022
4643592,0.001214,0.001739,0.146618
4643591,0.006373,0.007042,0.197677
4643590,0.0011,0.001626,0.039951
4643589,0.001155,0.001681,0.107697
4643588,0.001223,0.001748,0.074235
4643587,0.002143,0.002698,0.30251
4643586,0.001961,0.002509,0.126186
4643585,0.001752,0.002391,0.021065
4643584,0.001362,0.001888,0.175372
4643583,0.001092,0.001617,0.038634,0.038908,0.191542,1.955363
4643582,0.002843,0.003495,0.130741,0.132149,0.251407,1.533914
4643581,0.001461,0.002072,0.050793
4643580,0.001566,0.002176,0.03939
4643579,0.001696,0.002304,0.125826
4643578,0.008565,0.009338,0.055065
4643577,0.002107,0.002726,0.978032
4643576,0.006577,0.007339,0.298382
4643575,0.002992,0.003594,0.244491
4643574,0.005344,0.006001,0.112805
4643573,0.008968,0.009645,0.021363
4643572,0.019096,0.019784,2.692644
4643571,0.086624,0.087314,0.212103
4643570,0.041557,0.042245,2.364303,2.369363,2.494766,5.011042
4643569,0.011514,0.012312,0.17667
4643568,0.00161,0.002225,0.120081
4643567,0.002745,0.003404,0.014113
4643566,0.001962,0.002573,0.0943
4643565,0.004198,0.004926,0.823248
4643564,0.001854,0.002473,0.109631
4643563,0.044201,0.044985,2.090603
4643562,0.022661,0.02335,8.473267
4643561,0.002421,0.002979,0.010334
4643560,0.001503,0.002035,0.131542
4643559,0.001537,0.002075,0.114894,0.115192,0.11832,1.561177
4643558,0.001711,0.002247,0.033192
4643557,0.00403,0.004707,0.402505,0.40709,0.76684,2.385023
4643556,0.001364,0.001939,0.079765
4643555,0.003902,0.004619,1.216949,1.221312,2.128162,3.204476
4643554,0.002547,0.003114,0.27784
4643553,0.00216,0.002721,0.335261
4643552,0.001532,0.002067,0.098362
4643551,0.001113,0.001643,0.039811,0.040123,0.043165,1.682432
4643550,0.004401,0.005051,0.468839
4643549,0.001179,0.001719,0.103475
4643548,0.001479,0.002017,0.066958
4643547,0.001431,0.001967,0.104655
4643546,0.002199,0.002764,0.325387
4643545,0.001038,0.00157,0.01806
4643544,0.001308,0.001849,0.255621
4643543,0.001333,0.001877,0.154914
4643542,0.001457,0.002004,0.051838
4643541,0.00256,0.003139,0.205524
4643540,0.002251,0.002826,0.304043
4643539,0.001481,0.002027,0.097587
4643538,0.007931,0.008614,0.019732
4643537,0.003737,0.004371,0.428275,0.432522,0.525633,1.847051
4643536,0.010778,0.011461,0.262817
4643535,0.001055,0.001656,0.009024
